dialogue,reference,base_summary,fine_tuned_summary
"Mary: Did you tell your sister I am doing online job?
Mark: yes !
Mary: why
Mark: because she keep saying your good for nothing?
Mary: dint I tell you I don’t care?
Mark: what happened?
Mary: see I don’t want to prove anything to anyone..
Mark: I know… but I was just feeling proud so it was kind of show off…
Mary: she is asking everyone… and trying to get to the people I am working for
Mark: really!! I am sorry for that…
Mary: don’t be! I understand your feelings…  but u know how she is…
Mark: I know!! :? 
Mary: don’t be sad now its ok.. she cant do much about it… chill its ok but just be careful
Mark: I will be ..
Mary: btw it feels good that she is so jealous :P
Mark: lol my aim was to make her feel jealous
Mary: but i dont like it that she tries to contact the people i am working for ... what does she want?
Mark: may be she wants to confirm if its true... because its not easy to digest that your working from home and earning well!!!
Mary: whatever i just hate her
Mark: chill now .... :) love you
Mary: i am chilled :cool: ... love you too honey",Mark told his sister that Mary is doing an online job. Mark's sister is contacting people to confirm it. Mark thinks she's jealous. Mary hates Mark's sister.,Mary's sister is doing online work. Mark doesn't want to prove anything to anyone. Mary doesn't want to prove anything to anyone. Mark doesn't want to prove anything to anyone. Mary doesn't want to prove anything to anyone.,Mary's sister is doing online job. She doesn't want to prove anything to anyone. Mark doesn't want to prove anything to anyone.
"Marsha: Guys, we've planned the trip with John last night as we promised
Cynthia: great, thank you for that
Marsha: but of course you have to agree on that
Mohammad: sure, but I really trust you
Gavin: me too
Marsha: so as we decided last time, we will spend a week just on the beach 
Marsha: we all wanted some calm, nice place, right?
Gavin: yes!!! 
Marsha: John found this little hotel in Nosy Be
Marsha: <file_photo>
Marsha: and their website: <file_other>
Marsha: it's quite basic the website, but it may actually be a good sign
Gavin: I love it!
Cynthia: it seems just perfect
Marsha: I know
Marsha: it's more expensive than hotels on the mainland
Marsha: but it seems to be the most beautiful place in Madagascar
Mohammad: so let's go there, it's still cheaper than Italy for example
Marsha: exactly!","Marsha and John planned the trip. They will spend a week on the beach with Cynthia, Mohammad and Gavin. They will all stay in a hotel in Nosy Be.",Marsha and John have planned a trip with John last night. John found a little hotel in Nosy Be. Marsha and Mohammad will spend a week on the beach.,Marsha and John have planned a trip with John last night. John found a little hotel in Nosy Be. Marsha and Mohammad will spend a week on the beach.
"Jacob: Emily!! stop the busses .. I am not on my way..
Emily: Hurry up!! the busses are about to leave..
Jacob: Count to 10 and i will reach the parking lot
Emily: 10..9..1 where are you...",Emily is waiting for Jacob while the buses have almost left.,Jacob is on his way to the parking lot. Emily is not on his way. Jacob will reach the parking lot 10.9.1.,Jacob will stop the busses. Jacob will reach the parking lot 10.9.1.
"Sarah: how much longer?
Daina: I need to put my make up
Sarah: OMG
Sarah: casual or party type?
Daina: casual
Sarah: so it's about an hour?
Daina: u know me, sorry :)",Daina needs about an hour more to get ready.,Daina needs to put her make up in an hour.,Daina needs to put her make up.
"Mr. Benson: Hello everyone. First of all, thank you for staying after hours. As you know, I'm currently in Peru discussing a contract with a new client. 
Mr. Benson: We need to discuss a couple of matters: your work while I'm gone and things I need from you asap. 
Claudia: Hello, Mr. Benson. Of course. What do you require from us?
Andy: Hello, Mr. Benson. I'm here. 
Mark: Hello, so am I. Sorry for being a little late. Had a call with a client. Did I miss anything?
Mr. Benson: No, Mark, we're just starting.","Claudia, Andy and Mark stayed after hours at Mr. Benson's request. Mr. Benson is currently discussing a contract with a new client in Per and he wants to organize their work remotely.",Mr. Benson is in Peru discussing a contract with a new client. Andy is in Peru.,Mr. Benson is in Peru discussing a contract with a new client.
"Vincent: <file_photo>
Damian: What happened to your lamp?
Vincent: I broke it xD 
Vincent: With my bare hand
Damian: You didn't do this just to show off did you?
Vincent: Hahaha. xD No.
Vincent: I was playing with my cat with a ribbon
Vincent: And while raising my hand I just hit the lamp and the glass cover broke
Damian: Shit happens. You ordered new one yet?
Vincent: Yeah. Should be ready to pick up on Tuesday xD",Vincent's new lamp should be ready to be picked up on Tuesday.,Vincent broke his lamp with his bare hand. Vincent was playing with his cat with a ribbon. Vincent ordered a new lamp. Vincent will pick up on Tuesday.,Vincent broke his lamp with his bare hand. Vincent was playing with his cat with a ribbon. Vincent ordered a new lamp. Vincent will pick up on Tuesday.
"Kate: hey whats up
Sharol: hii nothing much man.. so bored
Kate: done with the assignment?
Sharol: which assignment?
Kate: that sociology one?
Sharol: which ? what? i am lost
Kate: omg dont tell me you forgot?
Sharol: seriously i dont know what your talking about?
Kate: haha! no wonder your bored girl 
Sharol: now would you please tell me which assignment? 
 Kate: yes ! we had to find answers of the questions about feminist act.? remember
Sharol: ohhh goodnesssss!!! i dont know how i forgot.......................................
Kate: now dont waste time and do it
Sharol: ya man. when is it due?
Kate: Tomorrow.. 
Sharol: What! 
Kate: yes now stop all those what and why and get to work....
Sharol: yes i am... are you done?
Kate: yes.... phewwwww
Sharol: :( talk to you later babes
Kate: haha.. i know i shouldnt be laughing but this is so funny...
Sharol: i hate you!
Kate: excuse me? i reminded you about assignment...
Sharol: oh yesssss... i love you now let me work. bye
Kate: lol ok byeee","Sharol forgot about her sociology assignment. She needs to research feminist act, and it's due tomorrow. Kate has already finished it, and she rushes Sharol.",Sharol forgot about the sociology assignment. She forgot about it. Sharol reminds Kate about the assignment.,Sharol forgot about the sociology assignment. She forgot about it. Sharol reminds Kate about the assignment.
"Mae: Is the dress ready?
Cael: Not yet
Mae: Hope to have it soon",Cael lets Mae know that the dress isn't ready yet.,Cael is not yet ready for the dress.,Cael is not yet ready for the dress.
"Liam: will pick you up at 8
Liam: be ready
Kane: cool man
Liam: just don't get us late please",Liam will pick up Kane at 8. ,Liam will pick Kane up at 8.,Liam will pick Kane up at 8.
"Ella: did you send me mms?  i can't open it for some reason :/
Caleb: yeah, I sent you a pic of Maya
Caleb: she's playing a mouse in a school play and I wanted to show you her costume
Caleb: she looks sooo adorable in it! :-)
Ella: aww...:) can you send me this photo via email?
Caleb: done :-)",Caleb sent Ella a pic of Maya to show her the girl's costume as a mouse in a school play. ,Ella sent Caleb a pic of Maya playing a mouse in a school play.,Ella sent Caleb a pic of Maya playing a mouse in a school play.
"Mario: I’ve landed in every airport in Europe today - completely whacked out dude.
Klara: Where are you now?
Mario: Waiting in Luxembourg now.
Eddie: Have fun dude.
Moe: Only because you love flying so much 😉
Mario: weather was good for flying everywhere 🙂 Otherwise it would have been trains everywhere 🙂
Moe: Mario  be safe bro
Mario: You too bro 🙂",Mario is waiting on the airport in Luxemburg now.,Mario has landed in every airport in Europe today. He's waiting in Luxembourg now. Mario is waiting in Luxembourg now.,Mario has landed in every airport in Europe today. He's waiting in Luxembourg now.
"James: Amelia said that one of our lecturers in philosophy had an art exhibition (!). It opens tomorrow! 
James: I'm talking about this guy who taught us ethics.
James: Amelia recommends it :D
Mia: No way...! :D Professor Evans and art exhibition :D What has happened to this world?
Mia: But you know what? I would actually like to see it! :D
James: ME TOO, of course! :p Can Amelia go with us?
Mia: To the exhibition or to the exhibition and to the cinema? You remember that we have plans for tomorrow...?
James: both
James: yes, I do
Mia: ok
James: Are you mad at me?
James: Babe, the fact that I suggested that we might go out with Amelia doesn't mean that I don't value time that we spend together, just the two of us.
Mia: I know, I said ok.
James: Are you sure you're fine with this?
Mia: Yup. :)
Mia: I just don't know her very well, it's gonna be stressful for me.
James: :) But you know me, don't you?
Mia: Maybe I do :D
James: Really, there's nothing to worry about. Amelia is quite laid-back and likable. ;)
James: Afterwards we can go to my place and hang out, cuddle and so on... :*
Mia: Sounds good :) :*
James: So we're good, right?
Mia: Right. ;)",James and Mia want to go to an art exhibition tomorrow. James wants Amelia to go with them but Mia isn't sure about it. James and Mia will go to his place afterwards.,James and Mia are going to see an art exhibition tomorrow. They will go to the exhibition or to the exhibition and to the cinema tomorrow.,James and Mia are going to see an art exhibition tomorrow. They will go to the exhibition or to the exhibition and to the cinema tomorrow.
"Nate: They've just sent me an excel file with all the registrations
Julie: how are we doing??
Nate: overbooked!
Julie: no...
Nate: a little bit. I guess that's better than having half of the room empty
Julie: how many people for the first day dinner?
Nate: Let me check...
Julie: ok
Nate: shit this is the worst, the registrations are transformed into text in Excel
Julie: omg what registration system is that
Nate: shitty one
Julie: what should be do?
Nate: I have to create a new file and feed the data into the tables myself
Julie: the worst.",Nate and Julie are overbooked. Nate is having problems with the registration system so he has to deal with it himself.,Nate and Julie are overbooked for the first day dinner. Nate has to create a new file and feed the data into the tables.,Nate and Julie are overbooked. Nate has to create a new file and feed the data into tables.
"Oli: Theres a car accident 
Katie: Where? 
Oli: On circle drive
Oli: I tried to get to the Circle Mall 
Katie: Oh no 
Pavel: Its on the news now 
Pavel: Theres no deaths 
Katie: Thank god 👼 ","There has been an accident on Circle Drive, neat Circle Mall. There are no fatalities.",Oli tried to get to the Circle Mall.,Oli tried to get to the Circle Mall.
"Ken: Hey, how are you doing today?
Ellen: Fine. How are you?
Ken: Not doing well at all today. Really depressed. Frustrated. Stressed out.
Ellen: Oh no!
Ken: Really bad day yesterday carrying over to today.
Ellen: Can I do anything?
Ken: I'll be fine. Just overwhelmed and burned out.
Ellen: Sorry!
Ken: Sorry, don't mean to bring you down.
Ellen: You didn't, just worried about you!",Ken is having some bad days.,Ken is not doing well today. Ellen is stressed out. Ken will be fine. Ellen is worried about Ken.,Ken is not doing well today. He is depressed and stressed out. Ellen will be fine.
